41	23	1701
40	89	76
32	885	347
7	1982	2055
12	1398	2964
28	726	4984
0	567	4456
11	1000	4850
1	1320	260
43	1788	77
4	1839	2469
4	1223	2256
39	842	4693
37	1143	506
16	283	3488
45	1564	2265
39	1216	3348
0	1821	1319
42	1334	4356
29	1843	1318
16	118	3083
39	1592	926
8	1617	2108
34	752	2768
40	1668	2777
8	452	4683
10	442	725
31	311	2108
8	1035	2820
15	1082	3405
45	1594	3140
43	1218	546
24	1726	2631
27	1148	3594
2	1037	4388
26	56	669
49	397	3922
5	1775	993
4	557	4319
10	654	4718
37	1804	4863
27	903	2320
7	1706	987
30	1110	1697
32	665	1565
21	1287	3770
14	565	124
4	1934	4335
6	1217	4825
22	96	3798
37	977	1570
28	846	1765
49	1544	552
